Frame,Blender_Distance,Predicted_Distance,Absolute_Error,Relative_Error_%
103,23.879953761621174,23.52486858724029,0.35508517438088205,1.486959220798658
104,23.819335835703164,23.41722367339236,0.4021121623108037,1.6881753760240104
105,23.76376542294913,23.41336451396996,0.35040090897917153,1.4745176227029346
106,23.71374819712772,,,
107,23.669752945550123,23.333339311982375,0.3364136335677479,1.4212807135825773
108,23.63220696679088,23.260814646543604,0.3713923202472742,1.5715515726871072
109,23.60149158379042,23.294517436874923,0.30697414691549696,1.3006557057026336
110,23.577939295670102,23.26191094381709,0.3160283518530136,1.3403561180219412
111,23.56182853924487,23.25750408660329,0.3043244526415805,1.2915994704515141
112,23.553381853783872,,,
113,23.5527630197717,23.27799647979021,0.2747665399814885,1.1666000279917554
114,23.560075245884143,20.59234867777454,2.967726568109601,12.596422282768607
